,Pattern 12
"Middle Temporal Gyrus, anterior division",-0.07298312516875008
Superior Frontal Gyrus,0.2742509038982377
Frontal Pole,-0.03884409521559948
Planum Temporale,-0.056005168870024234
"Inferior Temporal Gyrus, temporooccipital part",0.028477403078804017
Central Opercular Cortex,0.02826204144889287
Precuneous Cortex,-0.14212466098223298
Occipital Pole,0.1803944776253672
Lingual Gyrus,-0.3104291546329008
"Inferior Frontal Gyrus, pars opercularis",-0.04104577161140771
Putamen,0.12649361716356308
"Inferior Frontal Gyrus, pars triangularis",-0.0374664552311756
Middle Frontal Gyrus,-0.15136866293594914
Thalamus,0.03966121981573365
Frontal Operculum Cortex,0.006961938885908378
Precentral Gyrus,0.05209614646200034
Parietal Operculum Cortex,-0.00853508785071483
Caudate,0.09973671594166207
Pallidum,0.0722843847154106
Occipital Fusiform Gyrus,0.20410265391055527
Superior Parietal Lobule,-0.08228800248224763
Angular Gyrus,-0.186990728520134
"Lateral Occipital Cortex, inferior division",0.20396428052768387
"Inferior Temporal Gyrus, anterior division",0.06345757126115645
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),0.17459386163923032
Cuneal Cortex,-0.06756510132810126
Temporal Pole,-0.05895986541589261
Subcallosal Cortex,0.056245014311952314
Planum Polare,-0.025639373514168784
Paracingulate Gyrus,0.14972917780429176
Insular Cortex,0.1759299729734222
Temporal Occipital Fusiform Cortex,0.06353537831376141
Hippocampus,0.019136848212030738
"Middle Temporal Gyrus, temporooccipital part",0.01039173597004592
"Temporal Fusiform Cortex, anterior division",0.025028271854747517
"Lateral Occipital Cortex, superior division",-0.07541783315035609
Supracalcarine Cortex,-0.09901744841005064
Heschl's Gyrus (includes H1 and H2),0.035454718435091015
"Supramarginal Gyrus, posterior division",-0.08048728928898753
Postcentral Gyrus,0.21214254671280125
Intracalcarine Cortex,0.06558762304691944
Frontal Orbital Cortex,0.08914612748887148
"Parahippocampal Gyrus, posterior division",-0.011868906667571871
Amygdala,0.05140307002964015
"Inferior Temporal Gyrus, posterior division",0.049445148358831736
Frontal Medial Cortex,-0.010287865761028005
"Cingulate Gyrus, posterior division",0.09772556593646628
"Superior Temporal Gyrus, posterior division",-0.12366599728714182
"Middle Temporal Gyrus, posterior division",-0.09195762593112923
Ventral Striatum,0.08166932993754629
"Supramarginal Gyrus, anterior division",0.12458134855974352
"Cingulate Gyrus, anterior division",-0.27027914442997203
"Superior Temporal Gyrus, anterior division",-0.09966036794880764
"Parahippocampal Gyrus, anterior division",-0.014915991252014066
"Temporal Fusiform Cortex, posterior division",0.05226301220450104
FA anterior corona radiata,0.02679978798696451
FA cingulum hippocampus,0.040291411184756216
FA fornix cres+stria terminalis,0.0396581454751254
FA corticospinal tract,0.050782443918896976
FA inferior cerebellar peduncle,0.0018928112409772602
FA posterior corona radiata,-0.11528369177038207
FA tapetum,-0.04585107133276987
FA superior cerebellar peduncle,-0.03915274752995033
FA uncinate fasciculus,-0.056616743069233526
FA cerebral peduncle,-0.020763948071947317
FA posterior thalamic radiation,0.0532215675218833
FA anterior limb of internal capsule,-0.10456972400548324
FA superior longitudinal fasciculus,-0.055628444542766
FA external capsule,-0.12121201110366557
FA retrolenticular part of internal capsule,0.04469718887922264
FA sagittal stratum,-0.013718474047653664
FA cingulum cingulate gyrus,0.035756662628416334
FA superior fronto-occipital fasciculus,-0.04578257166231
FA posterior limb of internal capsule,-0.11790211650320916
FA medial lemniscus,0.051604498434720335
FA superior corona radiata,-0.02147495897867548
V Cerebellum,-0.24380487981578525
Crus I Cerebellum,0.0427488664717938
VIIIa Cerebellum,-0.04781534285449982
VIIIb Cerebellum,0.07525557520321119
I-IV Cerebellum,-0.09989656936319123
IX Cerebellum,0.05591825697011925
Crus II Cerebellum,-0.20602618487098032
VIIb Cerebellum,-0.19788137401229036
VI Cerebellum,-0.01643493773856707
