i,phesid,p_Asymmetry Pattern 21,-logp_Asymmetry Pattern 21,Category
0,1677,0.03647915159414446,1.437955270734688,early life factors
1,1777,0.879782698638517,0.055624582890757515,early life factors
2,1787,0.0218766075522154,1.660020024001426,early life factors
3,1767,0.4469036819993787,0.3497860672115916,early life factors
4,1697,0.06003116142337494,1.2216232542639238,early life factors
5,1687,0.8864004525770514,0.05237003087414517,early life factors
6,20022,0.005189196014452582,2.2848999241427457,early life factors
7,130,0.8012858727863729,0.09621251409786151,early life factors
8,129,0.6069931869519014,0.21681618353067267,early life factors
9,10722#4,0.4520237087741459,0.3448387857201445,lifestyle - general
10,10722#5,0.3909921418745968,0.407831970928417,lifestyle - general
11,10722#2,0.14753872329631368,0.8310939789619891,lifestyle - general
12,10722#100,0.8949899785540776,0.04818182757015665,lifestyle - general
13,10722#3,0.028943385110309833,1.5384506767845658,lifestyle - general
14,10721#1,0.19005642360196592,0.7211174473566263,lifestyle - general
15,10860#1,0.7267668976053474,0.13860486192912427,lifestyle - general
16,10721#6,0.1349477874992642,0.8698342314093366,lifestyle - general
17,10721#2,0.09599919137809952,1.0177324251011437,lifestyle - general
18,10721#3,0.8996007391396509,0.045950196406547864,lifestyle - general
19,10721#100,0.927826721336156,0.032533123990432844,lifestyle - general
20,10114,0.6177763246358399,0.20916873940949862,lifestyle - general
21,10105,0.6025871577282123,0.21998012820066995,lifestyle - general
22,6160#4,0.2501324397847315,0.601829980776907,lifestyle - general
23,6160#3,0.0034758546428084692,2.45893839365782,lifestyle - general
24,6160#5,0.5545648323945382,0.25604767457289496,lifestyle - general
25,10722#1,0.30685268511586683,0.513070072067512,lifestyle - general
26,10860#100,0.4091044666354008,0.38816577881373193,lifestyle - general
27,20107#11,0.4023120387995992,0.3954369713909392,lifestyle - general
28,10860#3,0.07518268188179857,1.123882186394324,lifestyle - general
29,20110#3,0.6873254981761182,0.16283754447770038,lifestyle - general
30,20110#9,0.13962909599629186,0.8550240737331238,lifestyle - general
31,20110#12,0.9304406616136828,0.03131131856273616,lifestyle - general
32,20110#11,0.3012825483829249,0.5210260238543576,lifestyle - general
33,20110#1,0.29848279663582933,0.5250806948241737,lifestyle - general
34,20110#8,0.001503146813190638,2.8229985995563265,lifestyle - general
35,20110#100,0.28823913955877567,0.5402470473239888,lifestyle - general
36,20107#101,0.33959487210556916,0.4690388762404201,lifestyle - general
37,20107#12,0.09535685726509967,1.0206480706797252,lifestyle - general
38,10860#2,0.9676460526990086,0.014283470656258287,lifestyle - general
39,20107#9,0.48669823728926165,0.3127402266698553,lifestyle - general
40,20107#3,0.23915965953933496,0.6213120735003128,lifestyle - general
41,20107#4,0.8570690324345632,0.0669841965155554,lifestyle - general
42,20107#6,0.34692604488235207,0.45976309501497653,lifestyle - general
43,20107#13,0.4417166354837482,0.35485624447547964,lifestyle - general
44,20107#8,0.23940778516480932,0.6208617311261683,lifestyle - general
45,20107#1,0.21652688376450485,0.6644881743880301,lifestyle - general
46,20107#2,0.0007351635542230136,3.1336160312630894,lifestyle - general
47,20107#100,0.6990427580480855,0.1554962591378522,lifestyle - general
48,6160#2,0.5097760834181067,0.29262054368666535,lifestyle - general
49,20107#10,0.44736836328321405,0.34933473131969817,lifestyle - general
50,6160#1,0.35830037106633833,0.4457527420655955,lifestyle - general
51,6146#3,0.9738922203925577,0.011489103366537265,lifestyle - general
52,6146#1,0.6785789837830682,0.1683995949832409,lifestyle - general
53,6139#3,0.5248642972131231,0.27995296819334253,lifestyle - general
54,6139#2,0.35067984472032104,0.4550891944215746,lifestyle - general
55,6139#1,0.4440261435918176,0.352591458526364,lifestyle - general
56,6139#100,0.6836483354548534,0.1651672392818721,lifestyle - general
57,6142#7,0.009953966981400992,2.002003804200709,lifestyle - general
58,6142#100,0.7678077444330611,0.11474751171902844,lifestyle - general
59,6142#4,0.9808525425724035,0.008396277799086842,lifestyle - general
60,6142#6,0.46246797766405784,0.3349183334228225,lifestyle - general
61,6142#5,0.0736757291865374,1.1326755571390847,lifestyle - general
62,6140#1,0.0016794327075244629,2.7748373930347543,lifestyle - general
63,6142#3,0.02027527667674372,1.6930332106870547,lifestyle - general
64,6142#1,1.6435855661915383e-17,16.784207681325288,lifestyle - general
65,6138#2,0.11110082009763554,0.9542827352754851,lifestyle - general
66,6138#4,0.028078748212303863,1.5516222575325087,lifestyle - general
67,6138#1,0.014349200204110724,1.8431723049663231,lifestyle - general
68,6138#3,0.0036090765808448277,2.4426039025662982,lifestyle - general
69,4501,0.6006978160408507,0.2213439470157402,lifestyle - general
70,2159,0.421342122679991,0.3753651211413208,lifestyle - general
71,1835,1.259572208312818e-19,18.89977693037079,lifestyle - general
72,1797,1.1887106943104236e-17,16.924923830118722,lifestyle - general
73,6142#2,1.0003442094857419e-22,21.999850537441464,lifestyle - general
74,6160#100,0.05160674176594531,1.2872935596035493,lifestyle - general
75,6140#3,0.08016080452707414,1.096037932695449,lifestyle - general
76,6140#100,0.8871662368844054,0.051994994602145225,lifestyle - general
77,20110#5,0.16462878446611862,0.7834942284076176,lifestyle - general
78,6146#2,0.7081297852738319,0.1498871379844108,lifestyle - general
79,6146#100,0.6255412650036283,0.2037440359749467,lifestyle - general
80,6145#4,0.00046044251237635205,3.3368245850463674,lifestyle - general
81,6145#2,0.04942814967570754,1.3060256468863953,lifestyle - general
82,6145#6,0.09107628298060302,1.0405947021890196,lifestyle - general
83,6145#3,0.5324624502831187,0.27371101363540196,lifestyle - general
84,6145#5,0.44827624441947367,0.3484542751669881,lifestyle - general
85,6145#100,0.45596730037122163,0.3410663015845727,lifestyle - general
86,6140#5,0.05631822507824555,1.24935104084873,lifestyle - general
87,6145#1,0.25829482353065425,0.5878842974062398,lifestyle - general
88,6141#7,0.25833499819111616,0.5878167533634745,lifestyle - general
89,6141#3,0.5422441947551869,0.2658050888283551,lifestyle - general
90,6141#4,0.7231467461550578,0.1407735635926574,lifestyle - general
91,6141#8,0.4669165303729533,0.330760750351321,lifestyle - general
92,6141#2,2.4985470327377828e-11,10.602312470969748,lifestyle - general
93,6141#1,0.8128428281848197,0.08999342175021981,lifestyle - general
94,6140#4,0.3156341564887576,0.5008160055515681,lifestyle - general
95,6140#6,0.833446531797906,0.07912225629183542,lifestyle - general
96,6140#2,0.5586524408995602,0.2528582993469137,lifestyle - general
97,6141#6,0.8502953372463995,0.07043020245198282,lifestyle - general
98,20110#6,0.02048228468943541,1.688621601764872,lifestyle - general
99,670_1.0,0.45050969529058466,0.3462958582567421,lifestyle - general
100,20110#10,0.0007731692610043608,3.1117254206051457,lifestyle - general
101,1845,9.483846472713224e-09,8.023015485123326,lifestyle - general
102,1807,0.07806721024264063,1.1075313400137523,lifestyle - general
103,767,0.06902348551716,1.1610031136819063,lifestyle - general
104,699,2.509639323156218e-13,12.600388689362925,lifestyle - general
105,189,0.8070668451348904,0.0930904934427741,lifestyle - general
106,6,0.1305861907029217,0.8841027466337763,lifestyle - general
107,5,0.5219879636835987,0.28233951110896827,lifestyle - general
108,4,0.16283467186847572,0.7882531166585027,lifestyle - general
109,3,0.03982548859828243,1.3998388873601952,lifestyle - general
110,24504,0.9306971926609612,0.03119159608358768,lifestyle - general
